time,delta_generator-1-1,omega_generator-1-1,delta_generator-2-1,omega_generator-2-1,delta_generator-3-1,omega_generator-3-1,delta_generator-6-1,omega_generator-6-1,delta_generator-8-1,omega_generator-8-1
0.0,0.16836457620210485,1.0,0.19634003962928454,1.0,0.03399195024518064,1.0,0.13872234332373035,1.0,0.018999198987019624,1.0
0.01,0.16836457620210485,1.0000000000000007,0.19634003962932434,1.0000000000000149,0.03399195024513763,0.9999999999999851,0.1387223433235658,0.9999999999999415,0.01899919898704912,1.0000000000000113
0.02,0.16836457620210485,1.0000000000000033,0.1963400396294321,1.0000000000000326,0.033991950245040876,0.9999999999999775,0.1387223433231798,0.9999999999998996,0.01899919898714024,1.0000000000000284
0.03,0.16836457620210485,1.0000000000000075,0.19634003962959132,1.0000000000000515,0.03399195024491665,0.9999999999999739,0.13872234332266492,0.9999999999998676,0.018999198987284555,1.0000000000000477
0.04,0.16836457620210485,1.0000000000000129,0.196340039629802,1.0000000000000704,0.03399195024477189,0.999999999999974,0.1387223433220393,0.999999999999844,0.01899919898748681,1.0000000000000686
0.05,0.16836457620210485,1.000000000000019,0.19634003963005148,1.000000000000089,0.033991950244614925,0.9999999999999764,0.13872234332133956,0.9999999999998263,0.01899919898773467,1.00000000000009
0.06,0.16836457620210485,1.0000000000000262,0.19634003963033797,1.0000000000001072,0.03399195024444894,0.9999999999999808,0.13872234332057423,0.9999999999998139,0.018999198988029625,1.000000000000111
0.07,0.16836457620210485,1.0000000000000344,0.1963400396306597,1.0000000000001248,0.033991950244273934,0.999999999999987,0.13872234331974606,0.9999999999998069,0.018999198988372146,1.0000000000001315
0.08,0.16836457620210485,1.0000000000000435,0.19634003963101135,1.0000000000001408,0.03399195024409302,0.9999999999999947,0.13872234331886985,0.9999999999998042,0.018999198988755937,1.0000000000001508
0.09,0.16836457620210485,1.0000000000000533,0.19634003963138555,1.0000000000001552,0.033991950243906485,1.0000000000000033,0.1387223433179539,0.9999999999998052,0.018999198989173707,1.0000000000001685
0.1,0.16836457620210485,1.000000000000064,0.1963400396317742,1.000000000000168,0.03399195024371433,1.0000000000000124,0.1387223433170062,0.9999999999998093,0.01899919898961815,1.0000000000001845
0.11,0.16836457620210485,1.0000000000000748,0.19634003963216737,1.000000000000179,0.0339919502435178,1.0000000000000218,0.13872234331603772,0.9999999999998157,0.01899919899007733,1.000000000000198
0.12,0.16836457620210485,1.0000000000000864,0.19634003963255656,1.000000000000188,0.033991950243313356,1.0000000000000313,0.13872234331505293,0.9999999999998239,0.018999198990542112,1.0000000000002094
0.13,0.16836457620210485,1.0000000000000984,0.19634003963293087,1.0000000000001952,0.03399195024310068,1.0000000000000404,0.13872234331405733,0.9999999999998331,0.018999198990999923,1.000000000000218
0.14,0.16836457620210485,1.0000000000001104,0.1963400396332829,1.0000000000001998,0.033991950242875824,1.000000000000049,0.13872234331305214,0.999999999999843,0.018999198991440983,1.000000000000224
0.15,0.16836457620210485,1.0000000000001228,0.19634003963360228,1.0000000000002025,0.033991950242637375,1.0000000000000568,0.13872234331204047,0.9999999999998529,0.01899919899185325,1.0000000000002274
0.16,0.16836457620210485,1.0000000000001352,0.19634003963388239,1.000000000000203,0.03399195024237938,1.0000000000000642,0.13872234331101663,0.9999999999998622,0.01899919899222775,1.0000000000002283
0.17,0.16836457620210485,1.0000000000001474,0.19634003963411129,1.0000000000002012,0.033991950242099285,1.0000000000000702,0.13872234330998143,0.9999999999998703,0.01899919899255133,1.000000000000226
0.18,0.16836457620210485,1.0000000000001594,0.19634003963428434,1.0000000000001974,0.03399195024179289,1.0000000000000748,0.1387223433089257,0.999999999999877,0.01899919899281723,1.0000000000002212
0.19,0.16836457620210485,1.0000000000001714,0.19634003963439242,1.0000000000001914,0.0339919502414572,1.0000000000000784,0.1387223433078462,0.9999999999998814,0.018999198993013458,1.0000000000002136
0.2,0.16836457620210485,1.000000000000183,0.1963400396344306,1.0000000000001832,0.03399195024108742,1.0000000000000804,0.13872234330673353,0.9999999999998831,0.018999198993133015,1.0000000000002036
0.21,0.16836457620210485,1.0000000000001943,0.19634003963439,1.0000000000001728,0.033991950240680045,1.0000000000000808,0.1387223433055789,0.9999999999998819,0.018999198993165437,1.0000000000001907
0.22,0.16836457620210485,1.0000000000002047,0.19634003963426566,1.00000000000016,0.033991950240230016,1.0000000000000797,0.13872234330437147,0.9999999999998769,0.018999198993104108,1.0000000000001754
0.23,0.16836457620210485,1.0000000000002147,0.19634003963405017,1.0000000000001454,0.03399195023973418,1.0000000000000768,0.13872234330309946,0.999999999999868,0.018999198992940034,1.0000000000001574
0.24,0.16836457620210485,1.000000000000224,0.19634003963374028,1.0000000000001288,0.0339919502391876,1.0000000000000722,0.13872234330175068,0.999999999999855,0.018999198992668193,1.000000000000137
0.25,0.16836457620210485,1.0000000000002325,0.1963400396333287,1.00000000000011,0.03399195023858691,1.0000000000000655,0.13872234330031094,0.9999999999998375,0.018999198992279302,1.0000000000001137
0.26,0.16836457620210485,1.0000000000002398,0.19634003963281563,1.000000000000089,0.03399195023792918,1.0000000000000568,0.1387223432987682,0.9999999999998153,0.018999198991772843,1.0000000000000882
0.27,0.16836457620210485,1.000000000000246,0.1963400396321918,1.0000000000000664,0.033991950237207844,1.0000000000000464,0.13872234329710537,0.9999999999997882,0.018999198991135585,1.0000000000000602
0.28,0.16836457620210485,1.000000000000251,0.19634003963146102,1.000000000000042,0.03399195023642453,1.0000000000000338,0.1387223432953131,0.9999999999997563,0.018999198990371585,1.00000000000003
0.29,0.16836457620210485,1.0000000000002547,0.19634003963061428,1.0000000000000158,0.033991950235569286,1.000000000000019,0.13872234329337124,0.9999999999997197,0.018999198989467246,0.9999999999999973
0.3,0.16836457620210485,1.0000000000002571,0.1963400396296572,0.9999999999999877,0.03399195023464784,1.0000000000000027,0.1387223432912744,0.9999999999996783,0.018999198988429236,0.9999999999999626
0.31,0.16836457620210485,1.000000000000258,0.19634003962858326,0.999999999999958,0.0339919502336519,0.9999999999999841,0.13872234328900437,0.9999999999996323,0.018999198987248028,0.999999999999926
0.32,0.16836457620210485,1.0000000000002573,0.19634003962739613,0.999999999999927,0.03399195023258349,0.9999999999999636,0.13872234328655447,0.999999999999582,0.018999198985926065,0.9999999999998873
0.33,0.16836457620210485,1.0000000000002551,0.1963400396260931,0.9999999999998943,0.03399195023143758,0.9999999999999412,0.13872234328391136,0.9999999999995277,0.01899919898445916,0.9999999999998469
0.34,0.16836457620210485,1.0000000000002511,0.19634003962467686,0.9999999999998604,0.033991950230215694,0.9999999999999168,0.13872234328106886,0.9999999999994699,0.01899919898284879,0.9999999999998049
0.35,0.16836457620210485,1.0000000000002451,0.1963400396231497,0.9999999999998256,0.03399195022891681,0.9999999999998906,0.13872234327802024,0.9999999999994086,0.01899919898109576,0.9999999999997614
0.36,0.16836457620210485,1.0000000000002374,0.1963400396215135,0.9999999999997897,0.03399195022754201,0.9999999999998627,0.13872234327476005,0.9999999999993446,0.018999198979202193,0.9999999999997168
0.37,0.16836457620210485,1.0000000000002276,0.19634003961977498,0.999999999999753,0.033991950226091985,0.9999999999998331,0.13872234327128818,0.9999999999992782,0.018999198977171495,0.9999999999996712
0.38,0.16836457620210485,1.000000000000216,0.19634003961793597,0.9999999999997156,0.03399195022456766,0.9999999999998019,0.1387223432676026,0.9999999999992101,0.018999198975007292,0.9999999999996246
0.39,0.16836457620210485,1.0000000000002023,0.1963400396160032,0.9999999999996775,0.03399195022297133,0.9999999999997693,0.138722343263706,0.9999999999991406,0.018999198972714956,0.9999999999995774
0.4,0.16836457620210485,1.0000000000001865,0.19634003961398172,0.9999999999996392,0.03399195022130437,0.9999999999997353,0.13872234325960103,0.9999999999990704,0.01899919897029938,0.9999999999995299
0.41,0.16836457620210485,1.0000000000001688,0.1963400396118785,0.9999999999996007,0.03399195021957064,0.9999999999997002,0.13872234325529462,0.9999999999990001,0.01899919896776754,0.9999999999994824
0.42,0.16836457620210485,1.0000000000001485,0.1963400396097012,0.999999999999562,0.033991950217773896,0.9999999999996642,0.13872234325079527,0.9999999999989302,0.018999198965127702,0.999999999999435
0.43,0.16836457620210485,1.0000000000001266,0.19634003960745725,0.9999999999995236,0.03399195021591802,0.9999999999996272,0.1387223432461125,0.9999999999988614,0.018999198962388535,0.9999999999993878
0.44,0.16836457620210485,1.0000000000001024,0.1963400396051572,0.9999999999994854,0.03399195021400894,0.9999999999995894,0.13872234324126015,0.999999999998794,0.018999198959560096,0.9999999999993414
0.45,0.16836457620210485,1.000000000000076,0.19634003960280763,0.9999999999994476,0.03399195021205074,0.999999999999551,0.13872234323625182,0.9999999999987287,0.01899919895665324,0.9999999999992958
0.46,0.16836457620210485,1.0000000000000477,0.1963400396004215,0.9999999999994104,0.03399195021005186,0.9999999999995124,0.13872234323110738,0.9999999999986662,0.018999198953680258,0.9999999999992513
0.47,0.16836457620210485,1.0000000000000173,0.19634003959800653,0.9999999999993741,0.033991950208016875,0.9999999999994735,0.1387223432258428,0.9999999999986067,0.01899919895065247,0.999999999999208
0.48,0.16836457620210485,0.999999999999985,0.19634003959557475,0.9999999999993385,0.03399195020595366,0.9999999999994346,0.1387223432204795,0.9999999999985508,0.018999198947583073,0.9999999999991663
0.49,0.16836457620210485,0.9999999999999509,0.19634003959313626,0.9999999999993041,0.03399195020386893,0.9999999999993957,0.1387223432150376,0.9999999999984989,0.01899919894448522,0.9999999999991265
0.5,0.16836457620210485,0.9999999999999151,0.1963400395907036,0.9999999999992709,0.03399195020177161,0.9999999999993573,0.1387223432095438,0.9999999999984513,0.018999198941374522,0.9999999999990887
0.51,0.16836457620210485,0.9999999999998774,0.19634003958828963,0.999999999999239,0.03399195019967032,0.9999999999993192,0.1387223432040236,0.9999999999984086,0.018999198938267254,0.9999999999990531
0.52,0.16836457620210485,0.9999999999998382,0.19634003958590351,0.9999999999992084,0.033991950197572465,0.9999999999992818,0.1387223431984969,0.9999999999983706,0.01899919893517539,0.9999999999990196
0.53,0.16836457620210485,0.9999999999997976,0.1963400395835559,0.9999999999991794,0.03399195019548599,0.9999999999992452,0.13872234319298846,0.9999999999983378,0.018999198932113267,0.9999999999989886
0.54,0.16836457620210485,0.9999999999997553,0.19634003958125623,0.9999999999991519,0.03399195019341775,0.9999999999992095,0.1387223431875192,0.9999999999983104,0.018999198929093134,0.9999999999989602
0.55,0.16836457620210485,0.9999999999997119,0.19634003957901466,0.9999999999991261,0.03399195019137618,0.9999999999991749,0.1387223431821116,0.999999999998288,0.018999198926128752,0.9999999999989344
0.56,0.16836457620210485,0.9999999999996674,0.19634003957684457,0.999999999999102,0.03399195018937216,0.9999999999991414,0.13872234317679638,0.9999999999982713,0.01899919892323776,0.9999999999989113
0.57,0.16836457620210485,0.9999999999996219,0.19634003957475582,0.9999999999990796,0.03399195018741319,0.999999999999109,0.13872234317159493,0.99999999999826,0.018999198920433176,0.999999999998891
0.58,0.16836457620210485,0.9999999999995755,0.19634003957275958,0.9999999999990591,0.03399195018550914,0.9999999999990783,0.13872234316653498,0.999999999998254,0.018999198917731136,0.9999999999988735
0.59,0.16836457620210485,0.9999999999995284,0.19634003957086507,0.9999999999990403,0.03399195018366821,0.9999999999990491,0.13872234316163806,0.9999999999982532,0.018999198915143827,0.9999999999988587
0.6,0.16836457620210485,0.9999999999994807,0.1963400395690825,0.9999999999990234,0.033991950181898635,0.9999999999990214,0.13872234315692727,0.9999999999982576,0.018999198912685276,0.9999999999988466
0.61,0.16836457620210485,0.9999999999994327,0.1963400395674192,0.9999999999990082,0.03399195018020812,0.9999999999989956,0.138722343152422,0.9999999999982669,0.018999198910366354,0.9999999999988373
0.62,0.16836457620210485,0.9999999999993845,0.19634003956588436,0.9999999999989949,0.033991950178604645,0.9999999999989713,0.13872234314814272,0.9999999999982807,0.018999198908199136,0.9999999999988305
0.63,0.16836457620210485,0.9999999999993363,0.1963400395644836,0.9999999999989833,0.03399195017709493,0.9999999999989488,0.13872234314410553,0.999999999998299,0.0189991989061927,0.9999999999988262
0.64,0.16836457620210485,0.9999999999992881,0.19634003956322496,0.9999999999989733,0.03399195017568601,0.9999999999989283,0.13872234314032733,0.9999999999983212,0.018999198904357074,0.9999999999988244
0.65,0.16836457620210485,0.9999999999992403,0.1963400395621112,0.9999999999989648,0.03399195017438322,0.9999999999989094,0.13872234313681972,0.999999999998347,0.01899919890269836,0.9999999999988246
0.66,0.16836457620210485,0.9999999999991928,0.19634003956114957,0.9999999999989578,0.03399195017319282,0.9999999999988923,0.13872234313359547,0.999999999998376,0.0189991989012246,0.9999999999988269
0.67,0.16836457620210485,0.999999999999146,0.19634003956034043,0.9999999999989524,0.03399195017211856,0.9999999999988771,0.13872234313066242,0.9999999999984077,0.01899919889993969,0.999999999998831
0.68,0.16836457620210485,0.9999999999991002,0.19634003955968832,0.9999999999989481,0.03399195017116542,0.9999999999988636,0.13872234312802834,0.9999999999984418,0.018999198898848834,0.9999999999988367
0.69,0.16836457620210485,0.9999999999990551,0.19634003955919313,0.9999999999989448,0.03399195017033548,0.9999999999988516,0.1387223431256974,0.9999999999984776,0.018999198897952922,0.9999999999988438
0.7,0.16836457620210485,0.9999999999990111,0.19634003955885576,0.9999999999989426,0.0339919501696318,0.9999999999988413,0.1387223431236722,0.9999999999985147,0.018999198897254068,0.999999999998852
0.71,0.16836457620210485,0.9999999999989684,0.19634003955867543,0.9999999999989413,0.03399195016905516,0.9999999999988325,0.13872234312195236,0.9999999999985527,0.018999198896751425,0.999999999998861
0.72,0.16836457620210485,0.999999999998927,0.19634003955864965,0.9999999999989405,0.03399195016860678,0.9999999999988253,0.1387223431205347,0.9999999999985911,0.018999198896442533,0.9999999999988708
0.73,0.16836457620210485,0.9999999999988871,0.19634003955877471,0.9999999999989404,0.03399195016828637,0.9999999999988192,0.13872234311941317,0.9999999999986291,0.018999198896322837,0.9999999999988807
0.74,0.16836457620210485,0.9999999999988489,0.19634003955904603,0.9999999999989405,0.03399195016809223,0.9999999999988143,0.1387223431185803,0.9999999999986666,0.018999198896387404,0.9999999999988907
0.75,0.16836457620210485,0.9999999999988124,0.1963400395594587,0.9999999999989408,0.033991950168022166,0.9999999999988104,0.1387223431180266,0.9999999999987029,0.018999198896629647,0.9999999999989005
0.76,0.16836457620210485,0.9999999999987778,0.19634003956000745,0.9999999999989412,0.03399195016807373,0.9999999999988074,0.13872234311774226,0.9999999999987379,0.01899919889704312,0.9999999999989101
0.77,0.16836457620210485,0.999999999998745,0.19634003956068585,0.9999999999989414,0.03399195016824322,0.9999999999988052,0.1387223431177157,0.999999999998771,0.018999198897619946,0.9999999999989189
0.78,0.16836457620210485,0.9999999999987143,0.1963400395614841,0.9999999999989414,0.033991950168525194,0.9999999999988036,0.13872234311792847,0.9999999999988017,0.01899919889834742,0.9999999999989269
0.79,0.16836457620210485,0.9999999999986855,0.19634003956239485,0.9999999999989411,0.033991950168915055,0.9999999999988027,0.13872234311836648,0.9999999999988297,0.018999198899216762,0.9999999999989336
0.8,0.16836457620210485,0.9999999999986589,0.1963400395634069,0.99999999999894,0.033991950169405795,0.9999999999988021,0.13872234311900816,0.9999999999988547,0.018999198900213003,0.9999999999989391
0.81,0.16836457620210485,0.9999999999986343,0.19634003956451038,0.9999999999989382,0.03399195016999114,0.9999999999988016,0.13872234311983467,0.9999999999988762,0.01899919890132385,0.9999999999989428
0.82,0.16836457620210485,0.9999999999986121,0.19634003956569343,0.9999999999989354,0.033991950170663046,0.9999999999988011,0.13872234312082307,0.9999999999988939,0.01899919890253341,0.9999999999989448
0.83,0.16836457620210485,0.9999999999985919,0.1963400395669447,0.9999999999989315,0.03399195017141333,0.9999999999988004,0.1387223431219521,0.9999999999989078,0.018999198903827886,0.999999999998945
0.84,0.16836457620210485,0.9999999999985739,0.19634003956825086,0.9999999999989265,0.0339919501722321,0.9999999999987994,0.13872234312319665,0.9999999999989175,0.01899919890518968,0.9999999999989427
0.85,0.16836457620210485,0.9999999999985582,0.19634003956960006,0.9999999999989203,0.033991950173110706,0.9999999999987981,0.13872234312453507,0.999999999998923,0.01899919890660443,0.9999999999989384
